#logback.classic pattern: %d{HH:mm:ss.SSS} - %5p | ms-Account= [%12(ID: %8mdc{id})] [%21.21thread] | %-45.45logger{45} :  %msg%n
#logback.classic pattern: %d{HH:mm:ss.SSS} - %5p | ms-Account= [%12(ID: %8mdc{id})] [%21.21thread] | %-45.45logger{45} :  %msg%n
21:47:16.659 - DEBUG | ms-Account= [ID:         ] [                 main] | o.s.c.a.ClassPathBeanDefinitionScanner        :  Identified candidate component class: file [C:\Users\jmagalmo\Documents\proyectos\bootCamp-microservice\account\target\classes\com\everis\account\controller\AccountController.class]
21:47:16.666 - DEBUG | ms-Account= [ID:         ] [                 main] | o.s.c.a.ClassPathBeanDefinitionScanner        :  Ignored because not a concrete top-level class: file [C:\Users\jmagalmo\Documents\proyectos\bootCamp-microservice\account\target\classes\com\everis\account\repository\AccountCrudRepository.class]
21:47:17.441 -  INFO | ms-Account= [ID:         ] [                 main] | o.s.d.r.c.RepositoryConfigurationDelegate     :  Bootstrapping Spring Data Reactive MongoDB repositories in DEFAULT mode.
21:47:17.445 - DEBUG | ms-Account= [ID:         ] [                 main] | o.s.b.f.support.DefaultListableBeanFactory    :  Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
21:47:17.446 - DEBUG | ms-Account= [ID:         ] [                 main] | o.s.b.autoconfigure.AutoConfigurationPackages :  @EnableAutoConfiguration was declared on a class in the package 'com.everis.account'. Automatic @Repository and @Entity scanning is enabled.
21:47:17.448 - DEBUG | ms-Account= [ID:         ] [                 main] | o.s.d.r.c.RepositoryConfigurationDelegate     :  Scanning for Reactive MongoDB repositories in packages com.everis.account.
21:47:17.461 - DEBUG | ms-Account= [ID:         ] [                 main] | o.s.d.r.config.RepositoryComponentProvider    :  Identified candidate component class: file [C:\Users\jmagalmo\Documents\proyectos\bootCamp-microservice\account\target\classes\com\everis\account\repository\AccountCrudRepository.class]
21:47:17.646 -  INFO | ms-Account= [ID:         ] [                 main] | o.s.d.r.c.RepositoryConfigurationDelegate     :  Finished Spring Data repository scanning in 196 ms. Found 1 Reactive MongoDB repository interfaces.
21:47:17.778 - DEBUG | ms-Account= [ID:         ] [                 main] | o.s.b.f.support.DefaultListableBeanFactory    :  Creating shared instance of singleton bean 'refreshScope'
21:47:17.782 - DEBUG | ms-Account= [ID:         ] [                 main] | o.s.b.f.support.DefaultListableBeanFactory    :  Creating shared instance of singleton bean 'org.springframework.cloud.autoconfigure.RefreshAutoConfiguration$RefreshScopeBeanDefinitionEnhancer'
